store_id,city,location_type,store_size,footfall,customer_segment
S01,Bangalore,Premium,Large,High,Premium
S02,Bangalore,Commercial,Large,High,Premium
S03,Bangalore,Residential,Medium,Medium,Mid-range
S04,Bangalore,Commercial,Large,High,Premium
S05,Bangalore,Residential,Medium,Medium,Mid-range
S06,Bangalore,Premium,Large,High,Premium
S07,Bangalore,Commercial,Medium,High,Mid-range
S08,Bangalore,Residential,Medium,Medium,Mid-range
S09,Mysore,Commercial,Large,High,Mid-range
S10,Mysore,Residential,Medium,Medium,Mid-range
S11,Mysore,Commercial,Medium,Medium,Budget
S12,Mysore,Residential,Small,Low,Budget
S13,Hubli,Commercial,Large,High,Mid-range
S14,Hubli,Residential,Medium,Medium,Budget
S15,Hubli,Commercial,Medium,Medium,Mid-range
S16,Hubli,Residential,Small,Low,Budget
S17,Tumkur,Commercial,Medium,High,Budget
S18,Tumkur,Residential,Medium,Medium,Budget
S19,Tumkur,Residential,Small,Low,Budget
S20,Davangere,Commercial,Medium,Medium,Budget
S21,Davangere,Residential,Medium,Medium,Budget
S22,Davangere,Residential,Small,Low,Budget
S23,Mangalore,Commercial,Large,High,Mid-range
S24,Mangalore,Residential,Medium,Medium,Mid-range
S25,Mangalore,Residential,Small,Low,Budget
